Time,Date,DateTime,Location,Latitude,Longitude,Train
7:22,"December 12, 2021",12/12/2021 7:22:00,"Seattle, WA",-122.3530159,47.61362861,503 Amtrak Cascades
7:34,"December 12, 2021",12/12/2021 7:34:00,"Tukwila, WA",-122.2402688,47.46108662,503 Amtrak Cascades
8:05,"December 12, 2021",12/12/2021 8:05:00,"Tacoma, WA",-122.4205188,47.24189459,503 Amtrak Cascades
8:38,"December 12, 2021",12/12/2021 8:38:00,"Olympia-Lacey, WA",-122.7940738,46.99127853,503 Amtrak Cascades
8:58,"December 12, 2021",12/12/2021 8:58:00,"Centralia, WA",-122.9530768,46.7174755,503 Amtrak Cascades
9:38,"December 12, 2021",12/12/2021 9:38:00,"Kelso-Longview, WA",-122.9130307,46.14226948,503 Amtrak Cascades
10:19,"December 12, 2021",12/12/2021 10:19:00,"Vancouver, WA",-122.6865585,45.62890647,503 Amtrak Cascades
10:47,"December 12, 2021",12/12/2021 10:47:00,"Portland, OR",-122.6782215,45.53051247,503 Amtrak Cascades
14:22,"December 13, 2021",12/13/2021 14:22:00,"Portland, OR",-122.6782215,45.53051247,11 Coast Starlight
15:34,"December 13, 2021",12/13/2021 15:34:00,"Salem, OR",-123.0356004,44.94110839,11 Coast Starlight
16:11,"December 13, 2021",12/13/2021 16:11:00,"Albany, OR",-123.1027884,44.63046937,11 Coast Starlight
17:08,"December 13, 2021",12/13/2021 17:08:00,"Eugene, OR",-123.0696423,44.04279234,11 Coast Starlight
20:13,"December 13, 2021",12/13/2021 20:13:00,"Chemult, OR",-121.7816079,43.21678941,11 Coast Starlight
21:58,"December 13, 2021",12/13/2021 21:58:00,"Klamath Falls, OR",-121.7719657,42.22551434,11 Coast Starlight
0:45,"December 14, 2021",12/14/2021 0:45:00,"Dunsmuir, CA",-122.2706007,41.21113222,11 Coast Starlight
2:31,"December 14, 2021",12/14/2021 2:31:00,"Redding, CA",-122.3927816,40.58352617,11 Coast Starlight
4:12,"December 14, 2021",12/14/2021 4:12:00,"Chico, CA",-121.8458744,39.72326414,11 Coast Starlight
6:28,"December 14, 2021",12/14/2021 6:28:00,"Sacramento, CA",-121.5007172,38.58400908,11 Coast Starlight
7:05,"December 14, 2021",12/14/2021 7:05:00,"Davis, CA",-121.7377202,38.54356706,11 Coast Starlight
7:54,"December 14, 2021",12/14/2021 7:54:00,"Martinez, CA",-122.1387972,38.01892598,11 Coast Starlight
8:29,"December 14, 2021",12/14/2021 8:29:00,"Emeryville, CA",-122.2916282,37.84047896,11 Coast Starlight
8:54,"December 14, 2021",12/14/2021 8:54:00,"Oakland, CA",-122.2716802,37.79387096,11 Coast Starlight
10:14,"December 14, 2021",12/14/2021 10:14:00,"San Jose, CA",-121.9024011,37.32993794,11 Coast Starlight
5:12,"December 16, 2021",12/16/2021 5:12:00,"Oakland, CA",-122.2716802,37.79387096,520 Capitol Corridor
5:20,"December 16, 2021",12/16/2021 5:20:00,"Emeryville, CA",-122.2916282,37.84047896,520 Capitol Corridor
5:25,"December 16, 2021",12/16/2021 5:25:00,"Berkeley, CA",-122.3007202,37.86725896,520 Capitol Corridor
5:32,"December 16, 2021",12/16/2021 5:32:00,"Richmond, CA",-122.3541432,37.93675696,520 Capitol Corridor
5:58,"December 16, 2021",12/16/2021 5:58:00,"Martinez, CA",-122.1387972,38.01892598,520 Capitol Corridor
6:17,"December 16, 2021",12/16/2021 6:17:00,"Suisun-Fairfield, CA",-122.0411122,38.24340601,520 Capitol Corridor
6:23,"December 16, 2021",12/16/2021 6:23:00,"Fairfield-Vacaville, CA",-121.9679392,38.28563102,520 Capitol Corridor
6:46,"December 16, 2021",12/16/2021 6:46:00,"Davis, CA",-121.7377202,38.54356706,520 Capitol Corridor
7:10,"December 16, 2021",12/16/2021 7:10:00,"Sacramento, CA",-121.5007172,38.58400908,520 Capitol Corridor
11:09,"December 16, 2021",12/16/2021 11:09:00,"Sacramento, CA",-121.5007172,38.58400908,6 California Zephyr
11:35,"December 16, 2021",12/16/2021 11:35:00,"Roseville, CA",-121.2862992,38.75002111,6 California Zephyr
12:21,"December 16, 2021",12/16/2021 12:21:00,"Colfax, CA",-120.9530882,39.09917716,6 California Zephyr
14:38,"December 16, 2021",12/16/2021 14:38:00,"Truckee, CA",-120.1854001,39.32762124,6 California Zephyr
15:56,"December 16, 2021",12/16/2021 15:56:00,"Reno, NV",-119.812136,39.52852629,6 California Zephyr
19:08,"December 16, 2021",12/16/2021 19:08:00,"Winnemucca, NV",-117.7322229,40.96904959,6 California Zephyr
21:31,"December 16, 2021",12/16/2021 21:31:00,"Elko, NV",-115.7505425,40.83648874,6 California Zephyr
3:05,"December 17, 2021",12/17/2021 3:05:00,"Salt Lake City, UT",-111.9085217,40.76304604,6 California Zephyr
